Volume fraction,Matrix Young's modulus,Matrix poisson ratio,Fiber Young's modulus,Fiber poisson ratio,Fiber shape,Longitudinal Young's modulus
0.05,5.35,0.354,232,0.279,1,15.5294
0.1,5.35,0.354,232,0.279,1,25.7793
0.15,5.35,0.354,232,0.279,1,39.2924
0.2,5.35,0.354,232,0.279,1,50.539
0.25,5.35,0.354,232,0.279,1,61.9783
0.3,5.35,0.354,232,0.279,1,73.1801
0.35,5.35,0.354,232,0.279,1,84.7188
0.4,5.35,0.354,232,0.279,1,96.0889
0.45,5.35,0.354,232,0.279,1,107.4543
0.5,5.35,0.354,232,0.279,1,118.7007
0.55,5.35,0.354,232,0.279,1,130.1151
0.6,5.35,0.354,232,0.279,1,141.1986
0.65,5.35,0.354,232,0.279,1,152.7554
0.7,5.35,0.354,232,0.279,1,163.1284
0.05,5.35,0.354,232,0.279,2,16.6541
0.1,5.35,0.354,232,0.279,2,28.0444
0.15,5.35,0.354,232,0.279,2,39.3193
0.2,5.35,0.354,232,0.279,2,50.8476
0.25,5.35,0.354,232,0.279,2,61.9765
0.3,5.35,0.354,232,0.279,2,73.275
0.35,5.35,0.354,232,0.279,2,84.6593
0.4,5.35,0.354,232,0.279,2,96.1198
0.45,5.35,0.354,232,0.279,2,107.4996
0.5,5.35,0.354,232,0.279,2,118.6518
0.55,5.35,0.354,232,0.279,2,130.146
0.6,5.35,0.354,232,0.279,2,141.4566
0.65,5.35,0.354,232,0.279,2,152.7456
0.7,5.35,0.354,232,0.279,2,164.2184
0.05,5.35,0.354,232,0.279,3,16.0559
0.1,5.35,0.354,232,0.279,3,28.095
0.15,5.35,0.354,232,0.279,3,39.4129
0.2,5.35,0.354,232,0.279,3,50.8257
0.25,5.35,0.354,232,0.279,3,61.9607
0.3,5.35,0.354,232,0.279,3,73.32
0.35,5.35,0.354,232,0.279,3,84.4253
0.4,5.35,0.354,232,0.279,3,95.9699
0.45,5.35,0.354,232,0.279,3,107.4898
0.5,5.35,0.354,232,0.279,3,118.7023
0.55,5.35,0.354,232,0.279,3,130.2001
0.6,5.35,0.354,232,0.279,3,141.3183
0.65,5.35,0.354,232,0.279,3,152.7491
0.7,5.35,0.354,232,0.279,3,163.9481
