Volume fraction,Matrix tensile modulus,Matrix tensile strength,Matrix poison ratio,Matrix density,Fiber tensile modulus,Fiber tensile strength,Fiber poison ratio,Fiber density,Tensile modulus
0.39,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,98.3310153
0.4,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,96.6759388
0.41,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,99.10987483
0.42,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,100.6675939
0.43,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,101.1543811
0.44,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,100.472879
0.45,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,104.659249
0.46,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,105.9248957
0.47,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,108.7482615
0.48,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,110.1112656
0.49,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,115.0764951
0.5,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,118.4840056
0.51,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,121.4047288
0.52,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,125.5910987
0.53,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,122.4756606
0.54,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,127.3435327
