Volume fraction,Matrix tensile modulus,Matrix tensile strength,Matrix poison ratio,Matrix density,Fiber tensile modulus,Fiber tensile strength,Fiber poison ratio,Fiber density,ROM modulus,Tensile modulus
0.39,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,91.652,96.3310153
0.4,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,93.92,98.6759388
0.41,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,96.188,99.10987483
0.42,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,98.456,100.6675939
0.43,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,100.724,101.1543811
0.44,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,102.992,103.472879
0.45,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,105.26,104.659249
0.46,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,107.528,105.9248957
0.47,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,109.796,108.7482615
0.48,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,112.064,110.1112656
0.49,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,114.332,115.0764951
0.5,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,116.6,118.4840056
0.51,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,118.868,121.4047288
0.52,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,121.136,125.5910987
0.53,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,123.404,126.4756606
0.54,3.2,80.6,0.354,1.2,230,4900,0.279,1.8,125.672,127.3435327
