Volume fraction,Matrix type,Matrix tensile modulus,Matrix tensile strength,Matrix poison ratio,Matrix density,Fibe type,Fiber tensile modulus,Fiber tensile strength,Fiber poison ratio,Fiber density,ROM modulus,Tensile modulus
0.35,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,82.58,77.5183
0.36,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,84.848,79.7155
0.37,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,87.116,81.6243
0.38,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,89.384,83.5566
0.39,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,91.652,86.8135
0.4,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,93.92,89.1567
0.41,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,96.188,91.1911
0.42,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,98.456,93.2492
0.43,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,100.724,95.3311
0.44,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,102.992,97.7901
0.45,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,105.26,99.9236
0.46,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,107.528,102.0808
0.47,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,109.796,104.7932
0.48,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,112.064,107.0135
0.49,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,114.332,109.2579
0.5,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,116.6,111.5263
0.51,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,118.868,113.8188
0.52,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,121.136,116.1352
0.53,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,123.404,118.4757
0.54,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,125.672,120.4444
0.55,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,127.94,123.2529
0.56,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,130.208,125.2688
0.57,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,132.476,127.3015
0.58,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,134.744,129.3511
0.59,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,137.012,131.4173
0.6,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,139.28,133.9190
0.61,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,141.548,136.0221
0.62,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,143.816,138.1422
0.63,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,146.084,140.2790
0.64,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,148.352,143.6273
0.65,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,150.62,145.8129
