Volume fraction,Matrix tensile modulus,Matrix tensile strength,Matrix poison ratio,Matrix density,Fiber tensile modulus,Fiber tensile strength,Fiber poison ratio,Fiber density,Fiber shape,ROM modulus,Tensile modulus
0.3,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,23.24,21.62453185
0.32,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,24.576,23.21459411
0.34,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,25.912,24.46205055
0.36,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,27.248,25.74722133
0.38,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,28.584,26.87883142
0.4,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,29.92,28.52849212
0.42,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,31.256,29.73405631
0.44,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,32.592,31.07174763
0.46,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,33.928,32.33572079
0.48,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,35.264,33.78831637
0.5,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,36.6,35.11747163
0.52,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,37.936,36.47501053
0.54,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,39.272,37.74424622
0.56,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,40.608,39.16611526
0.58,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,41.944,40.36872378
0.6,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,43.28,41.7141975
0.3,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,23.24,23.2297018
0.32,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,24.576,24.58334458
0.34,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,25.912,25.92662121
0.36,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,27.248,27.25452964
0.38,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,28.584,28.62005574
0.4,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,29.92,29.96397298
0.42,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,31.256,31.34258826
0.44,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,32.592,32.63213028
0.46,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,33.928,33.95323444
0.48,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,35.264,35.29939956
0.5,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,36.6,36.60817968
0.52,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,37.936,37.9431873
0.54,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,39.272,39.30437
