Volume fraction,Matrix tensile modulus,Matrix tensile strength,Matrix density,Fiber tensile modulus,Fiber tensile strength,Fiber density,ROM strength,Tensile strength
0.39,3.2,80.6,1.2,230,4900,1.8,1960.166,1473.724642
0.41,3.2,80.6,1.2,230,4900,1.8,2056.554,1430.063215
0.42,3.2,80.6,1.2,230,4900,1.8,2104.748,1587.422015
0.43,3.2,80.6,1.2,230,4900,1.8,2152.942,1595.433324
0.44,3.2,80.6,1.2,230,4900,1.8,2201.136,1722.998648
0.45,3.2,80.6,1.2,230,4900,1.8,2249.33,1707.079322
0.46,3.2,80.6,1.2,230,4900,1.8,2297.524,1733.061332
0.47,3.2,80.6,1.2,230,4900,1.8,2345.718,1713.185931
0.48,3.2,80.6,1.2,230,4900,1.8,2393.912,1665.479598
0.49,3.2,80.6,1.2,230,4900,1.8,2442.106,1693.438612
0.5,3.2,80.6,1.2,230,4900,1.8,2490.3,1727.328639
0.51,3.2,80.6,1.2,230,4900,1.8,2538.494,1751.292327
0.52,3.2,80.6,1.2,230,4900,1.8,2586.688,1727.46705
0.53,3.2,80.6,1.2,230,4900,1.8,2634.882,1862.958984
0.54,3.2,80.6,1.2,230,4900,1.8,2683.076,1861.017099
