Volume fraction,Matrix type,Matrix tensile modulus,Matrix tensile strength,Matrix elongation ,Matrix density,Fibe type,Fiber tensile modulus,Fiber tensile strength,Fiber elongation ,Fiber density,Fiber diameter,ROM strength,Tensile strength
0.392,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,1969.8048,1473.946
0.414,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2075.8316,1428.679
0.417,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2090.2898,1620.233
0.42,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2104.748,1549.167
0.422,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2114.3868,1689.381
0.427,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2138.4838,1598.577
0.428,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2143.3032,1531.449
0.429,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2148.1226,1683.498
0.434,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2172.2196,1567.028
0.444,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2220.4136,1663.856
0.445,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2225.233,1563.155
0.447,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2234.8718,1642.151
0.448,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2239.6912,1604.64
0.454,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2268.6076,1636.273
0.458,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2287.8852,1733.059
0.461,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2302.3434,1750.849
0.465,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2321.621,1723.229
0.47,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2345.718,1750.906
0.471,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2350.5374,1780.531
0.479,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2389.0926,1671.979
0.482,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2403.5508,1790.476
0.484,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2413.1896,1865.529
0.49,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2442.106,1693.775
0.492,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2451.7448,1755
0.497,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2475.8418,1749.113
0.505,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2514.397,1755.09
0.509,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2533.6746,1830.146
0.51,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2538.494,1907.166
0.528,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2625.2432,1865.815
0.535,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,2658.979,1859.936
