Volume fraction,Matrix type,Matrix tensile modulus,Matrix tensile strength,Matrix poison ratio,Matrix density,Fibe type,Fiber tensile modulus,Fiber tensile strength,Fiber poison ratio,Fiber density,ROM strength,Tensile strength
0.35,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1767.3900,1659.7171
0.36,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1815.5840,1706.4046
0.37,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1863.7780,1746.9640
0.38,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1911.9720,1788.0226
0.39,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1960.1660,1857.2282
0.4,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2008.3600,1907.0211
0.41,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2056.5540,1950.2484
0.42,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2104.7480,1993.9811
0.43,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2152.9420,2038.2197
0.44,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2201.1360,2090.4707
0.45,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2249.3300,2135.8048
0.46,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2297.5240,2181.6439
0.47,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2345.7180,2200.6561
0.48,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2393.9120,2247.2829
0.49,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2442.1060,2294.4154
0.5,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2490.3000,2342.0524
0.51,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2538.4940,2390.1948
0.52,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2586.6880,2438.8397
0.53,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2634.8820,2487.9892
0.54,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2683.0760,2529.3318
0.55,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2731.2700,2588.3100
0.56,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2779.4640,2630.6454
0.57,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2827.6580,2673.3317
0.58,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2875.8520,2716.3724
0.59,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2924.0460,2759.7633
0.6,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2972.2400,2812.2980
0.61,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3020.4340,2856.4643
0.62,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3068.6280,2900.9862
0.63,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3116.8220,2945.8593
0.64,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3165.0160,3016.1725
0.65,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3213.2100,3062.0709
