Volume fraction,Matrix tensile modulus,Matrix tensile strength,Matrix poison ratio,Matrix density,Fiber tensile modulus,Fiber tensile strength,Fiber poison ratio,Fiber density,Fiber shape,ROM strength,Tensile strength
0.3,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,759.92,432.4906238
0.32,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,805.208,464.2918892
0.34,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,850.496,489.2410249
0.36,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,895.784,514.9444538
0.38,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,941.072,537.5766561
0.4,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,986.36,570.5698902
0.42,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,1031.648,594.6811613
0.44,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,1076.936,621.4349488
0.46,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,1122.224,646.7144385
0.48,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,1167.512,675.7663375
0.5,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,1212.8,702.3494169
0.52,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,1258.088,729.5002477
0.54,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,1303.376,754.8849095
0.56,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,1348.664,783.322343
0.58,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,1393.952,807.3745269
0.6,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,1,1439.24,834.283923
0.3,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,759.92,464.5940363
0.32,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,805.208,491.6669055
0.34,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,850.496,518.5324188
0.36,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,895.784,545.0905944
0.38,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,941.072,572.4011233
0.4,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,986.36,599.2794817
0.42,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,1031.648,626.8517351
0.44,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,1076.936,652.6425629
0.46,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,1122.224,679.0646858
0.48,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,1167.512,705.9879756
0.5,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,1212.8,732.1635783
0.52,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,1258.088,758.8637835
0.54,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,1303.376,786.0874379
0.56,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,1348.664,812.4334866
0.58,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,1393.952,839.25108
0.6,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,2,1439.24,866.5421054
0.3,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,3,759.92,445.7080816
0.32,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,3,805.208,480.0746357
0.34,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,3,850.496,506.6138321
0.36,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,3,895.784,533.9614282
0.38,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,3,941.072,559.2633573
0.4,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,3,986.36,585.2236874
0.42,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,3,1031.648,611.8297305
0.44,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,3,1076.936,636.0308122
0.46,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,3,1122.224,660.7463252
0.48,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,3,1167.512,685.9764269
0.5,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,3,1212.8,714.9731709
0.52,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,3,1258.088,741.2927431
0.54,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,3,1303.376,768.1238106
0.56,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,3,1348.664,792.0154575
0.58,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,3,1393.952,819.8059721
0.6,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,3,1439.24,844.5386293
0.3,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,4,759.92,464.296031
0.32,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,4,805.208,491.2746332
0.34,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,4,850.496,518.4651002
0.36,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,4,895.784,545.2434768
0.38,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,4,941.072,571.9457792
0.4,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,4,986.36,598.4597049
0.42,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,4,1031.648,625.4484259
0.44,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,4,1076.936,651.7798994
0.46,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,4,1122.224,679.1985365
0.48,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,4,1167.512,705.5707472
0.5,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,4,1212.8,732.9323942
0.52,3.2,80.6,0.354,1.2,70,2345,0.24,2.64,4,1258.088,759.0246875
