Volume fraction,Matrix type,Matrix tensile modulus,Matrix tensile strength,Matrix elongation ,Matrix density,Fibe type,Fiber tensile modulus,Fiber tensile strength,Fiber elongation ,Fiber density,Fiber diameter,ROM modulus,Tensile modulus
0.391,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,91.8788,98.3310
0.397,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,93.2396,96.6759
0.405,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,95.0540,99.1099
0.415,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,97.3220,100.6676
0.417,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,97.7756,101.5438
0.419,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,98.2292,101.6412
0.421,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,98.6828,98.3310
0.422,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,98.9096,101.3491
0.423,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,99.1364,105.5355
0.426,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,99.8168,101.1544
0.428,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,100.2704,99.3046
0.433,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,101.4044,107.0932
0.442,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,103.4456,99.3046
0.444,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,103.8992,100.4729
0.445,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,104.1260,104.6592
0.448,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,104.8064,107.0932
0.449,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,105.0332,103.9777
0.454,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,106.1672,107.6773
0.455,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,106.3940,109.2350
0.46,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,107.5280,108.6509
0.463,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,108.2084,105.9249
0.464,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,108.4352,108.8456
0.469,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,109.5692,110.7928
0.47,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,109.7960,112.1558
0.472,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,110.2496,108.7483
0.478,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,111.6104,110.9875
0.479,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,111.8372,110.1113
0.492,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,114.7856,118.2893
0.494,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,115.2392,115.0765
0.496,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,115.6928,112.7399
0.497,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,115.9196,118.4840
0.505,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,117.7340,118.4840
0.509,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,118.6412,116.6342
0.511,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,119.0948,121.4047
0.513,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,119.5484,116.2448
0.521,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,121.3628,125.5911
0.525,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,122.2700,119.4576
0.527,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,122.7236,122.4757
0.529,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,123.1772,118.9708
0.535,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,124.5380,127.3435
