Volume fraction,Matrix type,Matrix tensile modulus,Matrix tensile strength,Matrix poison ratio,Matrix density,Fibe type,Fiber tensile modulus,Fiber tensile strength,Fiber poison ratio,Fiber density,Fiber shape,ROM modulus,Tensile modulus
0.30,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,71.2400,65.7217
0.32,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,75.7760,71.1189
0.34,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,80.3120,75.3532
0.36,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,84.8480,79.7155
0.38,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,89.3840,83.5566
0.40,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,93.9200,89.1567
0.42,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,98.4560,93.2492
0.44,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,102.9920,97.7901
0.46,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,107.5280,102.0808
0.48,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,112.0640,107.0135
0.50,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,116.6000,111.5263
0.52,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,121.1360,116.1352
0.54,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,125.6720,120.4444
0.56,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,130.2080,125.2688
0.58,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,134.7440,129.3511
0.60,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,139.2800,133.9190
0.30,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,71.2400,71.1658
0.32,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,75.7760,75.7602
0.34,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,80.3120,80.3196
0.36,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,84.8480,84.8272
0.38,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,89.3840,89.4628
0.40,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,93.9200,94.0254
0.42,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,98.4560,98.7056
0.44,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,102.9920,103.0818
0.46,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,107.5280,107.5576
0.48,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,112.0640,112.1292
0.50,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,116.6000,116.5742
0.52,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,121.1360,121.1082
0.54,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,125.6720,125.7310
0.56,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,130.2080,130.2051
0.58,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,134.7440,134.7593
0.60,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,139.2800,139.3938
0.30,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,71.2400,67.9636
0.32,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,75.7760,73.7964
0.34,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,80.3120,78.3007
0.36,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,84.8480,82.9423
0.38,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,89.3840,87.2368
0.40,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,93.9200,91.6431
0.42,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,98.4560,96.1590
0.44,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,102.9920,100.2668
0.46,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,107.5280,104.4620
0.48,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,112.0640,108.7445
0.50,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,116.6000,113.6664
0.52,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,121.1360,118.1339
0.54,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,125.6720,122.6880
0.56,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,130.2080,126.7437
0.58,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,134.7440,131.4609
0.60,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,139.2800,135.6587
0.30,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,71.2400,71.1182
0.32,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,75.7760,75.6972
0.34,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,80.3120,80.3119
0.36,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,84.8480,84.8563
0.38,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,89.3840,89.3882
0.40,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,93.9200,93.8882
0.42,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,98.4560,98.4693
0.44,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,102.9920,102.9387
0.46,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,107.5280,107.5919
0.48,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,112.0640,112.0703
0.50,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,116.6000,116.7149
0.52,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,121.1360,121.1429
