Volume fraction,Matrix type,Matrix tensile modulus,Matrix tensile strength,Matrix elongation ,Matrix density,Fibe type,Fiber tensile modulus,Fiber tensile strength,Fiber elongation ,Fiber density,Fiber diameter,Strength ratio,Modulus ratio,ROM strength,Tensile strength
0.3921,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,1970.2867,1473.7246
0.4149,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2080.1691,1430.0632
0.4177,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2093.6634,1613.2966
0.4199,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2104.2661,1587.4220
0.4202,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2105.7119,1780.5962
0.4221,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2114.8687,1450.0254
0.423,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2119.2062,1689.0074
0.424,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2124.0256,1708.9282
0.4268,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2137.5199,1595.4333
0.4277,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2141.8574,1529.7212
0.4293,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2149.5684,1683.0743
0.434,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2172.2196,1563.6174
0.4436,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2218.4858,1722.9986
0.4452,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2226.1969,1657.2906
0.4455,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2227.6427,1707.0793
0.4474,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2236.7996,1637.3904
0.4483,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2241.1370,1601.5503
0.4489,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2244.0287,1496.0067
0.4539,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2268.1257,1637.4338
0.4567,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2281.6200,1864.4794
0.4596,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2295.5962,1733.0613
0.4608,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2301.3795,1828.6599
0.4617,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2305.7170,1752.9904
0.4655,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2324.0307,1713.1859
0.4692,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2341.8625,1884.4767
0.4695,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2343.3083,1749.0592
0.4699,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2345.2361,1776.9417
0.4789,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2388.6107,1665.4796
0.4817,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2402.1050,1784.9861
0.4852,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2418.9729,1864.6674
0.4908,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2445.9615,1693.4386
0.493,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2456.5642,1751.2056
0.4961,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2471.5043,1727.3286
0.4976,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2478.7334,1749.2451
0.5061,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2519.6983,1751.2923
0.5092,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2534.6385,1824.9972
0.5108,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2542.3495,1902.6747
0.517,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2572.2298,1727.4671
0.5279,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2624.7613,1862.9590
0.5354,1,3.2,80.6,5.4,1.2,1,230,4900,2.1,1.8,7,60.7940,71.8750,2660.9068,1861.0171
