Volume fraction,Matrix type,Matrix tensile modulus,Matrix tensile strength,Matrix poison ratio,Matrix density,Fibe type,Fiber tensile modulus,Fiber tensile strength,Fiber poison ratio,Fiber density,Fiber shape,ROM strength,Tensile strength
0.3,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,1526.4200,1314.4342
0.33,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,1671.0020,1464.4001
0.36,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,1815.5840,1594.3104
0.39,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,1960.1660,1736.2695
0.42,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,2104.7480,1864.9836
0.45,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,2249.3300,1998.4720
0.48,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,2393.9120,2140.2694
0.51,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,2538.4940,2276.3759
0.54,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,2683.0760,2408.8874
0.57,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,2827.6580,2546.0302
0.6,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,2972.2400,2678.3791
0.3,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,1526.4200,1423.3150
0.33,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,1671.0020,1562.2740
0.36,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,1815.5840,1696.5441
0.39,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,1960.1660,1832.6049
0.42,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,2104.7480,1974.1113
0.45,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,2249.3300,2104.0028
0.48,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,2393.9120,2242.5845
0.51,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,2538.4940,2376.6013
0.54,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,2683.0760,2514.6207
0.57,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,2827.6580,2651.8407
0.6,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,2972.2400,2787.8752
0.3,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,1526.4200,1359.2717
0.33,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,1671.0020,1520.6156
0.36,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,1815.5840,1658.8460
0.39,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,1960.1660,1786.0743
0.42,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,2104.7480,1923.1804
0.45,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,2249.3300,2049.6945
0.48,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,2393.9120,2174.8901
0.51,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,2538.4940,2317.7846
0.54,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,2683.0760,2453.7601
0.57,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,2827.6580,2581.8292
0.6,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,2972.2400,2713.1734
0.3,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,1526.4200,1422.3636
0.33,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,1671.0020,1560.9071
0.36,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,1815.5840,1697.1263
0.39,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,1960.1660,1832.3360
0.42,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,2104.7480,1969.3870
0.45,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,2249.3300,2105.3483
0.48,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,2393.9120,2241.4052
