Volume fraction,Matrix type,Matrix tensile modulus,Matrix tensile strength,Matrix poison ratio,Matrix density,Fibe type,Fiber tensile modulus,Fiber tensile strength,Fiber poison ratio,Fiber density,Fiber shape,ROM modulus,Tensile modulus
0.44,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,102.992,97.7901
0.4,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,93.92,89.1567
0.38,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,89.384,87.2368
0.56,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,130.208,126.7437
0.56,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,130.208,125.2688
0.32,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,75.776,73.7964
0.3,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,71.24,71.1182
0.54,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,125.672,120.4444
0.48,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,112.064,112.0703
0.58,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,134.744,131.4609
0.34,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,80.312,80.3119
0.6,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,139.28,139.3938
0.5,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,116.6,111.5263
0.38,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,89.384,89.3882
0.32,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,75.776,75.7602
0.46,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,107.528,102.0808
0.42,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,98.456,93.2492
