Volume fraction,Matrix type,Matrix tensile modulus,Matrix tensile strength,Matrix poison ratio,Matrix density,Fibe type,Fiber tensile modulus,Fiber tensile strength,Fiber poison ratio,Fiber density,Fiber shape,ROM strength,Tensile strength
0.44,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,2201.136,1955.8019
0.4,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,2008.36,1783.1349
0.38,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,1911.972,1744.7361
0.56,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,2779.464,2534.8746
0.56,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,2779.464,2505.3765
0.32,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,1622.808,1475.9271
0.3,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,1526.42,1422.3636
0.54,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,2683.076,2408.8874
0.48,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,2393.912,2241.4052
0.58,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,2875.852,2629.2181
0.34,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,1719.196,1606.2373
0.6,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,2972.24,2787.8752
0.5,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,2490.3,2230.526
0.38,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,1911.972,1787.7634
0.32,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,1622.808,1515.2039
0.46,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,2297.524,2041.6163
0.42,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,2104.748,1864.9836
