Volume fraction,Matrix type,Matrix tensile modulus,Matrix tensile strength,Matrix poison ratio,Matrix density,Fibe type,Fiber tensile modulus,Fiber tensile strength,Fiber poison ratio,Fiber density,Fiber shape,ROM modulus,Tensile modulus
0.3,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,71.24,65.7217
0.32,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,75.776,71.1189
0.34,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,80.312,75.3532
0.36,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,84.848,79.7155
0.38,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,89.384,83.5566
0.48,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,112.064,107.0135
0.52,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,121.136,116.1352
0.58,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,134.744,129.3511
0.6,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,139.28,133.919
0.3,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,71.24,71.1658
0.34,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,80.312,80.3196
0.36,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,84.848,84.8272
0.38,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,89.384,89.4628
0.4,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,93.92,94.0254
0.42,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,98.456,98.7056
0.44,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,102.992,103.0818
0.46,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,107.528,107.5576
0.48,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,112.064,112.1292
0.5,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,116.6,116.5742
0.52,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,121.136,121.1082
0.54,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,125.672,125.731
0.56,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,130.208,130.2051
0.58,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,134.744,134.7593
0.3,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,71.24,67.9636
0.34,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,80.312,78.3007
0.36,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,84.848,82.9423
0.4,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,93.92,91.6431
0.42,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,98.456,96.159
0.44,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,102.992,100.2668
0.46,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,107.528,104.462
0.48,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,112.064,108.7445
0.5,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,116.6,113.6664
0.52,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,121.136,118.1339
0.54,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,125.672,122.688
0.6,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,139.28,135.6587
0.32,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,75.776,75.6972
0.36,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,84.848,84.8563
0.4,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,93.92,93.8882
0.42,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,98.456,98.4693
0.44,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,102.992,102.9387
0.46,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,107.528,107.5919
0.5,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,116.6,116.7149
0.52,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,121.136,121.1429
