Volume fraction,Matrix type,Matrix tensile modulus,Matrix tensile strength,Matrix poison ratio,Matrix density,Fibe type,Fiber tensile modulus,Fiber tensile strength,Fiber poison ratio,Fiber density,Fiber shape,ROM strength,Tensile strength
0.3,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,1526.42,1314.4342
0.32,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,1622.808,1422.3773
0.34,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,1719.196,1507.0638
0.36,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,1815.584,1594.3104
0.38,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,1911.972,1671.132
0.48,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,2393.912,2140.2694
0.52,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,2586.688,2322.7045
0.58,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,2875.852,2587.0213
0.6,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,1,2972.24,2678.3791
0.3,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,1526.42,1423.315
0.34,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,1719.196,1606.3916
0.36,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,1815.584,1696.5441
0.38,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,1911.972,1789.2565
0.4,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,2008.36,1880.5084
0.42,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,2104.748,1974.1113
0.44,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,2201.136,2061.6367
0.46,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,2297.524,2151.1516
0.48,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,2393.912,2242.5845
0.5,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,2490.3,2331.4842
0.52,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,2586.688,2422.1638
0.54,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,2683.076,2514.6207
0.56,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,2779.464,2604.1012
0.58,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,2,2875.852,2695.1851
0.3,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,1526.42,1359.2717
0.34,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,1719.196,1566.0133
0.36,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,1815.584,1658.846
0.4,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,2008.36,1832.8622
0.42,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,2104.748,1923.1804
0.44,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,2201.136,2005.3351
0.46,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,2297.524,2089.2392
0.48,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,2393.912,2174.8901
0.5,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,2490.3,2273.327
0.52,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,2586.688,2362.677
0.54,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,2683.076,2453.7601
0.6,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,3,2972.24,2713.1734
0.32,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,1622.808,1513.9434
0.36,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,1815.584,1697.1263
0.4,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,2008.36,1877.7633
0.42,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,2104.748,1969.387
0.44,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,2201.136,2058.7741
0.46,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,2297.524,2151.8384
0.5,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,2490.3,2334.2979
0.52,1,3.2,80.6,0.354,1.2,1,230,4900,0.279,1.8,4,2586.688,2422.8577
